编号,名称,说明（简）,说明（详）,小贴士,留空列
0,水域,"当单位直接接触水域时，对其产生<水蚀>效果。
<水蚀>：降低移动速度与攻击速度，并且每秒还要受到基于已损失生命值的溺水伤害。
*该地形所有效果始终对BOSS单位无效。","当单位直接接触水域时，对其产生<水蚀>效果。
<水蚀>：目标降低40%总移动速度，降低25%总攻击速度，每秒受到相当于X伤害。
其中：X = 4%目标已损失生命值与2的较大者。
*该地形所有效果始终对BOSS单位无效。","*使用木盘子卡片可以将水域所在格转化为临时陆地。

*对于非水上单位来说，目标损失生命值越高，<水蚀>带来的伤害也会越高；因此可以通过一些强制手段先降低目标生命值再让其入水待其自然溺水阵亡。",
1,夜域(已删除),"（已被删除的机制，留作纪念）
位于该区域的单位获得一定的攻击速度加成；敌方单位在非阻挡时获得少量伤害减免效果；友方单位受到伤害小幅度增加。","（已被删除的机制，留作纪念）
位于该区域的单位获得相当于其（25%基础攻击速度）的攻击速度加成；敌方单位更喜欢藏于阴影处，并更利于回避攻击，因此获得20%伤害减免，该伤害减免效果在被阻挡时会被暂时移除；友方单位更难防范袭击因此受到伤害增加25%。",*夜域中的友方单位更容易受伤，但是如果阻挡住敌方单位可以使之失去抗性加成尽可更快击杀。,
2,迷雾,"位于该区域的单位获得<隐匿>效果，并降低一定移动速度。
<隐匿>：目标不被视为可攻击目标；可以闪避所有弹体类攻击（范围效果无效）；并且无法阻挡单位。
*该环境所有效果始终对BOSS单位无效。","位于该区域的单位获得<隐匿>效果，并降低20%总移动速度。
<隐匿>：目标不被视为可攻击目标；可以闪避所有弹体类攻击（范围效果无效）；并且无法阻挡单位。
*该环境所有效果始终对BOSS单位无效。","*如果战线很长且迷雾位置靠前，可以考虑将双向水管等对后方高火力输出卡片置于迷雾中，给敌人带来出其不意的效果。

*将重要卡片放置在迷雾中是一个很有效的保护手段。",
3,风洞,"*允许卡片放置在其上（原版是不行的）！
*在关闭状态下与普通陆地无异。
*开启状态下可以传送其上的非BOSS老鼠单位，使其向前推进若干格，但会为其施加晕眩与当前生命值伤害；对于友方单位则会获得<乘风>效果。
<乘风>：获得攻击力与攻速加成，且不被选为攻击目标。","*允许卡片放置在其上（原版是不行的）！
*在关闭状态下与普通陆地无异。
*开启状态下可以传送其上的非BOSS老鼠单位，使其向前推进3.5格，但会为其施加7秒晕眩与25%当前生命值伤害；对于友方单位则会获得<乘风>效果。
<乘风>：获得50%攻击力与50%攻速加成，且不被选为攻击目标。","*不必因为风洞能将老鼠推进后方战线而感到惊慌失措，因为老鼠被推进的同时损失了大量生命值且会被晕眩相当长时间，布置好阵线好好招待它们吧！

*普通卡片放在开启的风洞上会相当安全，而且还会获得大量攻击属性提升。",
4,高空域/高空地块,范围内没有空载手段的单位都会直接坠亡。（对BOSS无效）,范围内没有空载手段的单位都会直接坠亡。（对BOSS无效）,*空载手段目前包括：空载具-棉花糖，<云层>。,
5,风域,"*风是看不见的。
*在范围内生效，可以推动非BOSS老鼠单位和部分特殊单位，推动速度与风速一致。
*被推动的单位移动方向与风向一致时，称为<顺风>，否则为<逆风>，在特殊情况下<顺风>和<逆风>会对单位产生影响。","*风是看不见的。
*在范围内生效，可以推动非BOSS老鼠单位和部分特殊单位，推动速度与风速一致。
*被推动的单位移动方向与风向一致时，称为<顺风>，否则为<逆风>，在特殊情况下<顺风>和<逆风>会对单位产生影响。","*<风域>虽然不可见，但可以通过观察场上老鼠单位的移动情况或者<云层>的移动情况来判断风速大小与风的方向。

*由关卡自然产生的<风域>的速度一般呈周期性变化，正确的利用好<风域>对老鼠的影响可以事半功倍。",
6,云层,"*可以作为空载手段，保护其上的卡免受坠亡的影响；
*无干扰情况下一般静止，会受到<风域>的影响而运动；
*在承受若干个单位后会暂时破裂，一定时间后重生；","*可以作为空载手段，保护其上的卡免受坠亡的影响；
*无干扰情况下一般静止，会受到<风域>的影响而运动；
*在承受若5个单位后会暂时破裂，25秒后重生；","*一般来说，<高空域>、<云层>、<风域>是一块出现的，可以在<风域>准备右向时想办法使云层破裂，然后云洞右向移动将前方的老鼠全部坠亡。

*如果<云层>破裂后云洞左向行进，可以事先在一些即将坠亡的卡片下布置好<棉花糖>以充当空载具的作用。",
7,岩浆,"*位于岩浆上的单位会免疫减速与定身类效果。
*直接接触岩浆的单位会获得大量进攻属性加成，但同时会以极快速度损失生命值。
*通过载具可以使单位免受<岩浆>的伤害，并且因为一定的温度也会提高活性（提供攻速与移速加成）","当单位直接接触岩浆时，对其产生<高温灼烧>效果，当单位通过载具间接接触岩浆时，对其产生<恒温灼烧>效果。位于岩浆范围内的单位免疫减速与定身类效果。
<高温灼烧>：目标+50%基础攻击力，+100%基础攻击速度，+150%基础移动速度，但每0.25秒受到相当于2.5%的最大生命值的灰烬伤害。
<恒温灼烧>：目标+50%基础攻击速度，+50%基础移动速度。
该地形所有效果始终对BOSS单位无效。","*可以在岩浆后置防御型卡片拖延老鼠，使其在岩浆上活活烫死。
*如果需要短时间内的爆发输出，可以把攻击类卡片暂时放在岩浆上，待其濒死再补上棉花糖。
*接上一条，对于需要爆发生产需求，同样可以把生产类卡片暂地放在岩浆上。",
8,冰冻损伤,"一种累积变量，当达到特定值时会触发<凝结>。
*<凝结>：目标被晕眩且<冰冻损伤>开始降低，持续到<冰冻损伤>降低至0。

*在<水域>中，<冰冻损伤>下降速度会降低。
*在<岩浆>中，<冰冻损伤>会立即被清空，且目标受到基于清空的<冰冻损伤>值的最大生命值灰烬伤害。","*当<冰冻损伤>叠加超过100时，会对目标触发一次<凝结>。
*<凝结>：目标被晕眩，其身上的<冰冻损伤>会以每秒25的速度下降，下降至0时解除该晕眩。
*无法作用于BOSS单位与人物单位。

*与<水域>的交互：若目标处于<水域>，<冰冻损伤>的降低速度降低20%。
*与<岩浆>的交互：若目标处于<岩浆>，会立即清除所有<冰冻损伤>值，通过这种方式每降低1点<冰冻损伤>值，目标就会受到0.4%最大生命值的灰烬伤害。",*当<凝结>触发时，100点冰冻损伤会在4秒内下降至0。,
9,移动板块,"以一定规律周期性移动的地块，会拖拽着位于其上的单位同步移动。
*对于老鼠单位，仅在水平方向上拖拽移动。
*在部分关卡可以作为水载具、空载具、岩浆载具等载具。","以一定规律周期性移动的地块，会拖拽着位于其上的单位同步移动。
*对于老鼠单位，仅在水平方向上拖拽移动。
*在部分关卡可以作为水载具、空载具、岩浆载具等载具。",*了解地图上板块的运作模式，然后展开布置防线。,
