Tip的Id,内容,解锁等级,出现一次增加的计数量,留空列
0,首次通过主线关卡给予的经验值能直接提升一级；所以请不要担心需要反复游玩同样的关卡才能刷经验值升级。,1,10,
1,如果感到攻关困难，可以多多查看主线关卡的提示！,2,2,
2,在情报岛中可以获取敌方鼠军与Boss的详细攻击模式！知己知彼方能百战百胜！,3,2,
3,大部分主武器需要等级解锁，因此在通关升级后别忘了检查新的主武器。,4,2,
4,将输出卡布置在后方能够更好保护队伍整体输出,5,2,
5,感到场上压力较大时，可以用灰烬卡片来缓解压力哦~,6,2,
6,双产火能够大幅提升队伍前期生产效率！对快速铺开阵型，压制敌军很有帮助！,7,2,
7,在通关深渊并达到15级后，就可以挑战“勇士神殿”与“勇士深渊”了！这两个关卡将更加有挑战性！,14,4,
8,冰勺弩枪在水地形能够有效发挥群控优势,15,3,
9,不同的卡片在不同的场合将会有不同的发挥！投手成阵会较快；而射手集火优势较高，面对精英怪输出效率更高,21,3,
10,善加利用地图的机制或许能发挥出意想不到的效果~,23,3,
11,通关主线关卡中每一章的最后一关后，将开启对应关卡的“勇士挑战”,24,3,
12,在通关火山并达到30级后，就可以挑战“魔塔蛋糕”与“传说挑战”了！不过传说挑战的难度很高，谨慎尝试哦！,29,3,
13,浮空岛推荐先挑战表关，再挑战里关，里关将逐渐到达本游戏主线的巅峰难度！,30,3,
