编号,名称,描述,留空
0,伤害,在目标受到伤害时，会依次进行增减伤计算再进行扣除护盾计算，最后剩下的数值部分为目标实际的生命值扣除。,
1,护盾,护盾可以抵挡一般的伤害，不能抵挡无视护盾的伤害、真实伤害、灰烬伤害、爆破灰烬伤害。,
2,真实伤害,真实伤害无视目标的增减伤计算与护盾计算，会直接对目标扣除真实伤害面板值的生命值。,
3,灰烬伤害,灰烬伤害属于真实伤害的一种，唯一区别是受灰烬伤害致死的敌人视为灰烬死亡而非正常死亡。,
4,灰烬效果,默认情况下为对目标造成一次（目标最大生命值）*（1-目标灰烬抗性）的灰烬伤害。值得一提的是大部分敌方单位的灰烬抗性是0，也就是一炸就死！,
5,正常死亡,默认的死亡表示，一般能触发死亡特效。,
6,灰烬死亡,被炸成灰的死亡表示，一般能触发死亡特效。,
7,摔落死亡,从高处掉下去的死亡表示，部分死亡特效不会触发。,
8,亡语,目标死亡或者被强制移除时触发的特殊效果，默认是任何形式的死亡都会触发。,
9,无敌,受到伤害前就跳过所有的伤害结算判定，因此即使是真实伤害也无法伤害到无敌的目标。,
10,定身效果,目前包括晕眩效果视为定身效果。,
11,晕眩效果,目标行动被暂停并在效果期间无法行动（包括自身移动、攻击、施放技能），表现形式是目标头顶冒金星。,
12,不可/可选为攻击目标,大部分攻击发动前的一个前提条件：攻击者需要对被攻击者有可以选取为攻击目标这一条件，否则无法发动攻击。,
13,阻挡,当两个单位互相接触时，若双方均满足相互阻挡的条件，则会相互阻挡，处于阻挡状态的单位无法正常移动。,
14,可否被击中,当远程弹体攻击与单位相接触时，若双方均满足互相被击中条件，则会视为这发远程弹体能击中该单位，否则不可击中。,
15,标记伤害,"一种伤害延迟触发机制，当目标受到非标记产生的伤害时，会消耗掉（100%*计算完增减伤之后的伤害数值）点标记伤害积累值，对目标追加一次等量的无来源的标记伤害，标记伤害计算方式等同于真实伤害。对于BOSS单位来说标记伤害直接等同于普通伤害。
*比如说目标身上有100点标记伤害值，并且持有受到伤害增加20%的效果，当受到10点普通伤害时，先计算增减伤后得出结果值12点，目标先受到这12点伤害，然后消耗掉12点标记伤害积累值并使目标受到12点标记伤害。",
16,对格子的伤害/对格子的效果,一种针对格子上按特定顺序伤害其上美食的伤害手段，默认为 护罩类>炸弹类>普通类，高优先级的卡片先承受伤害。溢出的部分不会顺次传给下家承受。事实上大部分老鼠的普通攻击本质是对格子的伤害。对格子的效果类似于对格子的伤害，只不过是把伤害换成特定的效果。,
17,处决,一般情况下为目标受到相当于其当前生命值的真实伤害。,
18,可被攻击的美食单位,默认情况下仅护罩类、普通类、炸弹类视为可攻击的美食单位。,
